hla_class,intersection,n_proteins,uniprot_id,gene_name
HLA-I,All three,1904,P11171,41
HLA-I,All three,1904,P11215,ITAM
HLA-I,All three,1904,P11216,PYGB
HLA-I,All three,1904,P11309,PIM1
HLA-I,All three,1904,P11387,TOP1
HLA-I,All three,1904,P11388,TOP2A
HLA-I,All three,1904,P11586,C1TC
HLA-I,All three,1904,P11686,PSPC
HLA-I,All three,1904,P11717,MPRI
HLA-I,All three,1904,P11926,DCOR
HLA-I,All three,1904,P12004,PCNA
HLA-I,All three,1904,P12109,CO6A1
HLA-I,All three,1904,P12110,CO6A2
HLA-I,All three,1904,P12111,CO6A3
HLA-I,All three,1904,P12270,TPR
HLA-I,All three,1904,P12814,ACTN1
HLA-I,All three,1904,P12821,ACE
HLA-I,All three,1904,P12955,PEPD
HLA-I,All three,1904,P13010,XRCC5
HLA-I,All three,1904,P13073,COX41
HLA-I,All three,1904,P13284,GILT
HLA-I,All three,1904,P13489,RINI
HLA-I,All three,1904,P13611,CSPG2
HLA-I,All three,1904,P13612,ITA4
HLA-I,All three,1904,P13639,EF2
HLA-I,All three,1904,P13645,K1C10
HLA-I,All three,1904,P13647,K2C5
HLA-I,All three,1904,P13667,PDIA4
HLA-I,All three,1904,P13674,P4HA1
HLA-I,All three,1904,P13686,PPA5
HLA-I,All three,1904,P13747,HLAE
HLA-I,All three,1904,P13796,PLSL
HLA-I,All three,1904,P13797,PLST
HLA-I,All three,1904,P13987,CD59
HLA-I,All three,1904,P14317,HCLS1
HLA-I,All three,1904,P14543,NID1
HLA-I,All three,1904,P14618,KPYM
HLA-I,All three,1904,P14625,ENPL
HLA-I,All three,1904,P14866,HNRPL
HLA-I,All three,1904,P14921,ETS1
HLA-I,All three,1904,P14923,PLAK
HLA-I,All three,1904,P15036,ETS2
HLA-I,All three,1904,P15088,CBPA3
HLA-I,All three,1904,P15104,GLNA
HLA-I,All three,1904,P15260,INGR1
HLA-I,All three,1904,P15311,EZRI
HLA-I,All three,1904,P15498,VAV
HLA-I,All three,1904,P15924,DESP
HLA-I,All three,1904,P15927,RFA2
HLA-I,All three,1904,P16070,CD44
HLA-I,All three,1904,P16144,ITB4
HLA-I,All three,1904,P16234,PGFRA
HLA-I,All three,1904,P16401,H15
HLA-I,All three,1904,P16403,H12
HLA-I,All three,1904,P16870,CBPE
HLA-I,All three,1904,P16885,PLCG2
